API_UWI,API_UWI_12,WellID,LogId,DocumentName,FileExtension,DocumentType,LogType,LogTypeCode,TopDepth,BaseDepth,DocCategory,Description,NumberOfCurves,DepthIndexType,FileSize,DateUpdated,has_resistivity,has_gamma_ray,has_porosity_nphi,has_caliper,has_density,has_gas,has_porosity_dphi,has_porosity,has_lithology,has_sonic_transit_time,has_spontaneous_potential,has_photoelectric_effect,has_dipmeter,has_porosity_sphi,has_spectral_gamma_ray,has_total_organic_carbon,has_rate_of_penetration
42-389-00309,42-389-00309-00,840420005525778,813929510,42-389-00309-00-00_EC_RS0044182763.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,50.00,6091.00,LAS,"DT,GR",2,MD,570984,2023-11-04,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-371-32618,42-371-32618-00,840420002868367,812599936,42-371-32618-00-00_EC_RS0032956354.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,10841.00,18209.00,LAS,"CALI,DT,GR,RESD,RESS,SP",6,MD,1580394,2023-11-05,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
42-371-32618,42-371-32618-00,840420002868367,812103794,42-371-32618-00-00_DIG_RS0032033861.LAS,LAS,DIGITAL_LOG,RAW,100,10841.00,18209.00,LAS,"CAL,DT,GR,ILD,ILS,SP",6,MD,1119650,2020-05-10,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
42-371-32618,42-371-32618-00,840420002868367,813726441,42-371-32618-00-00_ECP_RS0041782404.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,10841.00,18209.00,LAS,"CALI_E,DT_E,GR_E,RESD_E,RESS_E,SP_E",24,MD,5561992,2023-11-20,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
42-371-33280,42-371-33280-00,840420002897846,810031429,42-371-33280-00-00_DIG_RS0022586163.LAS,LAS,DIGITAL_LOG,RAW,100,50.00,21639.00,LAS,"CALI,DT,GR,LLD,NPHI",5,,4279969,2019-01-23,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
42-371-10044,42-371-10044-00,840420005525272,810033730,42-371-10044-00-00_DIG_RS0022588562.LAS,LAS,DIGITAL_LOG,RAW,100,1465.00,21747.00,LAS,"DT,GR",2,,1951940,2019-01-23,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-00435,42-389-00435-00,840420003198202,812124568,42-389-00435-00-00_DIG_RS0032063993.LAS,LAS,DIGITAL_LOG,RAW,100,101.00,5444.00,LAS,"DT,GR",2,MD,332308,2020-05-10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-00435,42-389-00435-00,840420003198202,812574427,42-389-00435-00-00_EC_RS0032924416.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,101.00,5444.00,LAS,"DT,GR",2,MD,505528,2023-11-04,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-00435,42-389-00435-00,840420003198202,813708838,42-389-00435-00-00_ECP_RS0041757956.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,101.00,5444.00,LAS,"DT_E,GR_E",8,MD,1468534,2023-11-21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-371-34966,42-371-34966-00,840420002932476,810031432,42-371-34966-00-00_DIG_RS0022586166.LAS,LAS,DIGITAL_LOG,RAW,100,50.00,17750.00,LAS,"CALI,DPHI,DT,DTEDIT,GR,LLD,NPHI",7,,4713869,2019-01-23,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
