ev_id,station,r,az,tt_P,tt_S,ts-tp
texnet2023vxpc,PB24,2.122477754984858,197.56243200450768,1.444103,2.476314,1.032211
texnet2023ejqc,WB03,1.9102088016102272,139.28429382203194,1.444144,2.625965,1.1818209999999998
texnet2023wklq,PB24,2.647763562673076,186.62593193585542,1.444257,2.395821,0.9515640000000003
texnet2022xfpx,WB03,2.4444248787064713,166.29927713631093,1.445417,2.57867,1.1332529999999998
texnet2023vxsv,PB24,2.024888412400068,217.49394098863846,1.445479,2.445289,0.9998099999999999
texnet2023vxez,PB24,2.836972277788243,183.4320969458038,1.446214,2.418158,0.9719439999999999
texnet2023vxck,PB24,2.8355530372227444,239.34885599419852,1.446683,2.512001,1.0653180000000002
texnet2023bdny,PB24,2.1366124741944446,196.56448348696392,1.448035,2.492,1.043965
texnet2022wmng,WB03,2.6515421050959973,150.47295995875172,1.448103,2.592236,1.1441330000000003
texnet2022wpeo,WB03,1.2295426279562736,128.1382179269021,1.448675,2.648784,1.200109
texnet2023wkkr,PB24,2.151496072181023,196.44662684532284,1.452745,2.542,1.0892549999999999
texnet2022vglh,PB26,1.7678783275236456,225.17702523709954,1.452831,2.537686,1.084855
texnet2023wetw,PB24,2.123534903479412,197.55340469748242,1.453,2.479983,1.0269829999999998
texnet2023wekw,PB24,2.5255728670823747,185.30270198683544,1.45456,2.436147,0.981587
texnet2022xazu,PB24,2.7234420795571355,229.2959806393719,1.454815,2.533779,1.078964
texnet2023wkly,PB24,2.8399578199883235,190.54938443711467,1.455284,2.441157,0.985873
texnet2023vxqh,PB24,2.8129130431316876,183.55830016183194,1.45562,2.428313,0.9726930000000003
texnet2024axdl,PB24,2.897808784310477,182.94661395880757,1.456493,2.442634,0.9861409999999999
texnet2022wnol,WB03,2.7202797269888874,154.145948546063,1.456827,2.559985,1.103158
texnet2023vxvf,PB34,1.1017944871574377,328.1125816745778,1.457001,2.457001,1.0
texnet2022wvcr,PB24,1.6479123289762023,198.1836922843084,1.457509,2.695427,1.237918
texnet2023wimj,WB03,2.77248892266946,153.7091751409868,1.458235,2.49855,1.0403149999999999
texnet2023hhxw,PB37,2.9746743856824938,64.06473666933847,1.459867,2.50099,1.0411229999999998
texnet2022wmqx,WB03,2.4041307975427864,156.13273791490008,1.46019,2.420215,0.9600249999999997
texnet2023xetu,PB24,2.1871937108445247,218.81769642589077,1.460221,2.456289,0.996068
texnet2023vncn,PB35,1.3699289802279226,266.69543070626685,1.460638,2.163425,0.702787
texnet2023wklk,PB24,2.750493762198205,185.54276961403204,1.46123,2.476022,1.014792
texnet2022wtnx,WB03,2.4282912040564075,155.94413380989766,1.461359,2.53937,1.0780109999999998
texnet2023vyer,WB03,2.8324150947397233,149.0496477612333,1.462075,2.55225,1.090175
texnet2023kvzz,PB24,2.6923750225699616,234.217190794055,1.462408,2.360901,0.8984930000000002
texnet2022xdyl,PB24,2.943859097023365,272.7930915572922,1.462421,2.48979,1.0273690000000002
texnet2023wiza,PB24,2.6184197319818923,226.65684637788792,1.462611,2.445251,0.9826399999999997
texnet2023vnhi,PB35,1.7116874170914744,268.36029430021665,1.463862,2.191117,0.7272550000000002
texnet2023vxqi,PB24,2.889099221300286,182.559898852655,1.46498,2.453811,0.988831
texnet2022wtoo,PB24,2.3430176543687278,224.8967591533863,1.466311,2.633655,1.1673440000000002
texnet2023vxkz,WB03,2.5741843069104715,154.75133352229994,1.466358,2.536061,1.069703
texnet2022wpws,PB24,2.1366587216745345,195.82227726301323,1.467408,2.53167,1.064262
texnet2023wewy,WB03,1.2764525206208603,140.30683765883848,1.467588,2.564395,1.0968070000000003
texnet2022wqdm,PB24,2.3390936546754904,224.9926111533297,1.468419,2.637376,1.1689570000000002
texnet2023wnhj,WB03,2.475315374511629,139.15297263318288,1.46938,2.724873,1.2554930000000002
texnet2023wekr,PB34,2.414212948744593,343.88236182039304,1.46966,2.466917,0.9972570000000001
texnet2023wcbp,PB24,1.9815163721429827,217.28068635670022,1.469725,2.52236,1.052635
texnet2023vyrv,PB24,2.148572400509316,197.20984016327762,1.470562,2.501604,1.031042
texnet2023vztd,PB24,2.164072485927049,195.79936079337358,1.472516,2.538801,1.066285
texnet2023vyhs,PB24,1.9573497026667592,207.4197021154818,1.472979,2.420263,0.9472839999999998
texnet2023vyna,PB24,2.6302540735881035,231.21812800701852,1.473167,2.494096,1.020929
texnet2023vxnd,PB24,1.994482311205132,209.21485993662012,1.473906,2.532511,1.058605
texnet2023wbcw,WB03,2.850095709397733,149.10707772360692,1.473964,2.558518,1.0845539999999998
texnet2022zmod,PB24,2.6408965420608563,231.95549504461624,1.474604,2.509225,1.0346209999999998
texnet2022xayl,PB24,2.1169156576830526,197.87971478914454,1.475219,2.398174,0.922955
texnet2023xets,PB24,2.1691420428300034,214.41180479571454,1.476087,2.477972,1.001885
