API_UWI,API_UWI_12,WellID,LogId,DocumentName,FileExtension,DocumentType,LogType,LogTypeCode,TopDepth,BaseDepth,DocCategory,Description,NumberOfCurves,DepthIndexType,FileSize,DateUpdated,has_resistivity,has_gamma_ray,has_porosity_nphi,has_caliper,has_density,has_gas,has_porosity_dphi,has_porosity,has_lithology,has_sonic_transit_time,has_spontaneous_potential,has_photoelectric_effect,has_dipmeter,has_porosity_sphi,has_spectral_gamma_ray,has_total_organic_carbon,has_rate_of_penetration
42-109-32611,42-109-32611-00,840420000577770,815934116,42-109-32611-90-00_DIG_RS0051093250.LAS,LAS,DIGITAL_LOG,RAW,100,2210.00,10624.00,LAS,"CAL,DT,GR",3,MD,843114,2023-03-31,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
42-109-32611,42-109-32611-00,840420000577770,816025385,42-109-32611-90-00_EC_RS0051224942.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,2210.50,10623.50,LAS,"CALI,DT,GR",3,MD,1046927,2023-11-03,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
42-109-32611,42-109-32611-00,840420000577770,816025386,42-109-32611-90-00_EC_RS0051224943.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,2210.50,5808.00,LAS,"DT__A,GR__A",2,MD,341785,2023-11-03,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-109-32611,42-109-32611-00,840420000577770,816029475,42-109-32611-90-00_ECP_RS0051234528.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,2210.50,10623.50,LAS,"CALI_E,DT_E,GR_E",12,MD,3319731,2023-11-20,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
42-109-32888,42-109-32888-00,840420000590164,817248394,42-109-32888-00-00_DIG_RS0056072459.LAS,LAS,DIGITAL_LOG,RAW,100,8672.00,14432.00,LAS,"CALD_C,DCOR,DPHI_LS,DT_CH,GRD,LLDC,LLSC,MSFLC,NPHI_LS,PE,RHOB_CH",11,,1672766,2024-01-05,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0
42-109-32888,42-109-32888-00,840420000590164,817301046,42-109-32888-00-00_EC_RS0056186856.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,8672.00,14432.00,LAS,"CALI,DPHI_LS,DRHO,DT,GR,NPHI_LS,PE,RESD_LL,RESS_LL,RHOB",10,MD,1929030,2024-02-07,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0
42-109-32888,42-109-32888-00,840420000590164,817318551,42-109-32888-00-00_ECP_RS0056205477.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,8672.00,14432.00,LAS,"CALI_E,DPHI_265_E,DPHI_271_E,DRHO_E,DT_E,GR_E,NPHI_E,PE_E,RESD_LL_E,RESS_LL_E,RHOB_E",41,MD,7289372,2024-02-17,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0
42-389-33816,42-389-33816-00,840420000645406,812581545,42-389-33816-00-00_EC_RS0032933319.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,190.50,13500.00,LAS,"CALI,DPHI,DT,GR,NPHI,RHOB",6,MD,2852033,2023-11-04,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
42-389-33816,42-389-33816-00,840420000645406,811953397,42-389-33816-00-00_DIG_RS0031816693.LAS,LAS,DIGITAL_LOG,RAW,100,190.00,13500.00,LAS,"CAL,DPHI,DT,GR,NPHI,RHOB",6,MD,2293011,2020-05-10,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
42-389-33816,42-389-33816-00,840420000645406,813708939,42-389-33816-00-00_ECP_RS0041758090.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,190.50,13500.00,LAS,"CALI_E,DPHI_265_E,DPHI_271_E,DT_E,GR_E,NPHI_E,RHOB_E",25,MD,10441281,2023-11-21,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
42-109-33374,42-109-33374-00,840420005291531,816073221,42-109-33374-00-00_DIG_RS0052515697.LAS,LAS,DIGITAL_LOG,RAW,100,8830.00,14230.00,LAS,"CCL,CRNF,DTC_CHI,DTC_OH,GR_CHI,GR_OH,NPHI_CHI,NPHI_OH,PE_CHI,PE_OH,RHOB_CHI,RHOB_OH,RIN,RT10_CHI,RT10_OH,RT30_CHI,RT30_OH,RT90_CHI,RT90_OH,SGF,SPHI_CHI",21,,2045725,2022-02-08,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
42-109-33374,42-109-33374-00,840420005291531,816135847,42-109-33374-00-00_ECP_RS0052593450.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,8830.00,14230.00,LAS,"DPHI_265_E,DPHI_271_E,DT_E,GR_E,NPHI_E,PE_E,RESD_E,RESM_E,RESS_E,RHOB_E",37,MD,6185756,2023-11-20,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0
42-109-33374,42-109-33374-00,840420005291531,816135550,42-109-33374-00-00_EC_RS0052593052.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,8830.00,14230.00,LAS,"DT,DT__01,GR,GR__01,NPHI,NPHI__01,PE,PE__01,RESD_90,RESD_90__01,RESM_30,RESM_30__01,RESS_10,RESS_10__01,RHOB,RHOB__01,SPHI",17,MD,2943692,2023-11-03,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
