ev_id,type,type_certainty,agency,evaluation_mode,evaluation_status,origin_time,longitude,longitude_error,latitude,latitude_error,depth,depth_error,method_id,earth_model_id,horizontal_uncertainty,min_horizontal_uncertainty,max_horizontal_uncertainty,azimuth_max_horizontal_uncertainty,semi_major_axis_length,semi_minor_axis_length,semi_intermediate_axis_length,major_axis_plunge,major_axis_azimuth,major_axis_rotation,associated_phase_count,used_phase_count,associated_station_count,used_station_count,depth_phase_count,standard_error,azimuthal_gap,secondary_azimuthal_gap,ground_truth_level,minimum_distance,maximum_distance,median_distance,magnitude,uncertainty,type,method_id,station_count,evaluation_status
1000eibw,earthquake,,us,manual,reviewed,2018-06-04 02:41:06.580000,-103.2503,0.0105,31.159,0.018,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1400.0,2900.0,3100.0,173.0,3100.0,1500.0,2900.0,19.0,173.0,182.0,43,29,,,,0.34,71.0,107.0,GT5,0.246,,,2.7,0.096,mb_Lg,1.0,35,reviewed
2000fqqz,earthquake,,us,manual,reviewed,2018-06-28 23:37:30.120000,-103.3209,0.0074,31.1924,0.0144,5000.0,1800.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1000.0,2400.0,2900.0,167.0,2900.0,1000.0,2400.0,65.0,167.0,9.0,44,27,,,,1.07,56.0,92.0,,0.271,,,2.7,0.089,mb_Lg,1.0,41,reviewed
2000h7e7,earthquake,,us,manual,reviewed,2018-09-03 23:46:49.930000,-103.2517,0.0116,31.1396,0.0126,5000.0,1800.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1200.0,2100.0,2800.0,180.0,2800.0,1300.0,2100.0,66.0,180.0,36.0,56,28,,,,0.64,53.0,90.0,GT5,0.227,,,3.0,0.07,mb_Lg,1.0,67,reviewed
2000h7ef,earthquake,,us,manual,reviewed,2018-09-03 23:48:18.460000,-103.2309,0.0179,31.1359,0.0099,5000.0,1800.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1400.0,2700.0,2800.0,265.0,2800.0,1500.0,2700.0,63.0,265.0,24.0,18,17,,,,0.36,53.0,96.0,GT5,0.229,,,2.9,0.295,mb_Lg,1.0,4,reviewed
2000h7eg,earthquake,,us,manual,reviewed,2018-09-03 23:50:18.380000,-103.2168,0.02,31.1244,0.0072,5000.0,1800.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1100.0,2700.0,3100.0,280.0,3100.0,900.0,2700.0,35.0,280.0,11.0,19,19,,,,0.32,52.0,97.0,GT5,0.223,,,2.6,0.161,mb_Lg,1.0,11,reviewed
1000h8cj,earthquake,,us,manual,reviewed,2018-10-07 06:14:18.720000,-103.2924,0.0221,31.1823,0.0162,5000.0,1200.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1900.0,2500.0,3700.0,114.0,3700.0,1300.0,2500.0,21.0,114.0,279.0,30,15,,,,0.94,55.0,91.0,GT5,0.263,,,2.9,0.081,ML,1.0,50,reviewed
2000i7ac,earthquake,,us,manual,reviewed,2018-11-06 03:57:52.530000,-103.2905,0.0137,31.1658,0.0144,3250.0,4400.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1300.0,1341.0,2265.0,149.0,6900.0,900.0,2300.0,74.0,181.0,126.0,22,16,,,,0.52,55.0,92.0,GT5,0.246,,,2.2,0.081,ML,1.0,20,reviewed
1000hwcb,earthquake,,us,manual,reviewed,2018-11-25 10:32:11.210000,-103.3251,0.061,31.2288,0.0495,3050.0,6100.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,5400.0,5671.0,8771.0,130.0,10400.0,6600.0,9000.0,21.0,312.0,186.0,30,29,,,,0.79,56.0,89.0,,0.307,,,2.5,0.142,mb_Lg,1.0,13,reviewed
2000isiz,earthquake,,us,manual,reviewed,2018-12-11 15:45:07.900000,-103.3199,0.0231,31.0848,0.0252,1280.0,2800.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,2400.0,2683.0,3757.0,154.0,4700.0,2800.0,4200.0,47.0,177.0,144.0,21,20,,,,0.54,67.0,110.0,GT5,0.164,,,2.5,0.132,mb_Lg,1.0,15,reviewed
2000iw9m,earthquake,,us,manual,reviewed,2018-12-22 10:58:03.550000,-103.259,0.0158,31.156,0.0189,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1800.0,3000.0,3400.0,193.0,3400.0,1900.0,3000.0,33.0,193.0,141.0,69,26,,,,0.59,54.0,80.0,GT5,0.242,,,3.4,0.098,Mwr,1.0,10,reviewed
