ev_id,longitude,latitude,depth,S-P,Author
texnet2021jyhl,-104.39102,31.67889,5.892,False,TexNet HighRes
texnet2021jxtg,-104.29726,31.68946,6.915,False,TexNet HighRes
texnet2021jxet,-104.54238,31.72339,6.825,False,TexNet HighRes
texnet2021jxbt,-104.20413,31.59149,7.111,False,TexNet HighRes
texnet2021jwzc,-104.11706,31.56222,6.62,False,TexNet HighRes
texnet2021jwvv,-104.38891,31.67794,6.034,False,TexNet HighRes
texnet2021jwob,-104.52968,31.59502,7.766,False,TexNet HighRes
texnet2021jwcx,-104.28901,31.68953,6.324,False,TexNet HighRes
texnet2021jvyu,-104.10304,31.61666,6.661,False,TexNet HighRes
texnet2021jvxg,-104.38072,31.67612,5.565,False,TexNet HighRes
texnet2021kamj,-104.49451,31.66755,7.136,False,TexNet HighRes
texnet2021karu,-104.33639,31.66037,6.73,False,TexNet HighRes
texnet2021kdqc,-104.34006,31.66142,6.844,False,TexNet HighRes
texnet2021kayp,-104.37644,31.67718,5.65,False,TexNet HighRes
texnet2021kdhg,-104.38898,31.67671,6.195,False,TexNet HighRes
texnet2021kdbp,-104.40906,31.68105,5.525,False,TexNet HighRes
texnet2021kdbj,-104.38766,31.67778,6.076,False,TexNet HighRes
texnet2021kczp,-104.00376,31.49494,7.186,False,TexNet HighRes
texnet2021kcvd,-104.57129,31.70964,5.86,False,TexNet HighRes
texnet2021kcsc,-104.52878,31.59514,7.845,False,TexNet HighRes
texnet2021kcop,-104.24775,31.59374,6.178,False,TexNet HighRes
texnet2021kcjh,-104.24762,31.5932,6.21,False,TexNet HighRes
texnet2021kcis,-104.01873,31.58164,6.94,False,TexNet HighRes
texnet2021kcii,-104.01852,31.58175,6.943,False,TexNet HighRes
texnet2021kcgq,-104.31379,31.65486,6.407,False,TexNet HighRes
texnet2021kcdk,-104.36001,31.63195,7.277,False,TexNet HighRes
texnet2021kcde,-104.38921,31.63066,7.41,False,TexNet HighRes
texnet2021kcck,-104.57068,31.70972,5.879,False,TexNet HighRes
texnet2021kbxq,-104.21133,31.6367,6.642,False,TexNet HighRes
texnet2021kbvt,-104.20935,31.58862,7.16,False,TexNet HighRes
texnet2021kbvd,-104.09743,31.61327,6.796,False,TexNet HighRes
texnet2021kbsf,-104.28721,31.61128,6.859,False,TexNet HighRes
texnet2021kbsb,-104.15739,31.65794,6.157,False,TexNet HighRes
texnet2021kbpw,-104.2183,31.62796,6.801,False,TexNet HighRes
texnet2021kbjg,-104.40574,31.67731,6.542,False,TexNet HighRes
texnet2021kbhy,-104.38443,31.63107,7.222,False,TexNet HighRes
texnet2021kbca,-104.01768,31.58127,6.961,False,TexNet HighRes
texnet2021kmha,-104.24446,31.60507,6.718,False,TexNet HighRes
texnet2021kmin,-104.39661,31.67537,6.824,False,TexNet HighRes
texnet2021letj,-104.16723,31.70997,6.139,False,TexNet HighRes
texnet2021kyhv,-104.53095,31.66027,6.774,False,TexNet HighRes
texnet2021kxze,-104.5614,31.72466,6.208,False,TexNet HighRes
texnet2021kxqc,-103.96342,31.48946,4.866,False,TexNet HighRes
texnet2021kxai,-104.29549,31.68698,7.423,False,TexNet HighRes
texnet2021kwus,-104.13335,31.62522,7.195,False,TexNet HighRes
texnet2021kwtu,-104.42572,31.62342,6.846,False,TexNet HighRes
texnet2021kwqc,-104.10557,31.61743,6.66,False,TexNet HighRes
texnet2021kwpm,-104.49078,31.66907,5.803,True,TexNet HighRes
texnet2021kwna,-104.38543,31.67475,6.713,False,TexNet HighRes
texnet2021kwmw,-104.38492,31.67441,6.694,False,TexNet HighRes
texnet2021kwkt,-104.48952,31.66916,5.703,True,TexNet HighRes
texnet2021kwkn,-104.48905,31.66856,5.877,False,TexNet HighRes
texnet2021kwjp,-104.48966,31.669,5.791,True,TexNet HighRes
texnet2021kwcw,-104.48792,31.66842,5.87,True,TexNet HighRes
texnet2021kwav,-103.82196,31.76539,6.758,False,TexNet HighRes
texnet2021kwaj,-104.21475,31.64064,7.451,False,TexNet HighRes
texnet2021kwaa,-104.1399,31.69819,7.118,False,TexNet HighRes
texnet2021kvzu,-104.18802,31.65153,7.553,False,TexNet HighRes
texnet2021kvyu,-104.37452,31.67073,6.82,False,TexNet HighRes
texnet2021kvqq,-104.40207,31.67942,5.895,False,TexNet HighRes
texnet2021kvhn,-104.54453,31.65689,6.919,False,TexNet HighRes
texnet2021kuwd,-104.54397,31.65715,6.846,False,TexNet HighRes
texnet2021kunw,-104.37607,31.67501,5.92,False,TexNet HighRes
texnet2021kunu,-104.37325,31.66847,7.013,False,TexNet HighRes
texnet2021kybj,-104.53589,31.59866,6.043,False,TexNet HighRes
texnet2021kykw,-104.14463,31.69954,7.351,False,TexNet HighRes
texnet2021kujq,-104.36649,31.66519,7.155,False,TexNet HighRes
texnet2021kymb,-104.13396,31.62525,7.071,False,TexNet HighRes
texnet2021lecp,-104.12811,31.6213,6.157,False,TexNet HighRes
texnet2021leai,-104.55706,31.72734,6.206,False,TexNet HighRes
texnet2021ldre,-104.33143,31.66108,7.137,False,TexNet HighRes
texnet2021ldmg,-104.24245,31.59289,6.284,False,TexNet HighRes
texnet2021ldmd,-104.3312,31.66067,7.174,False,TexNet HighRes
texnet2021ldkh,-104.39005,31.67593,6.287,False,TexNet HighRes
texnet2021ldex,-104.54841,31.65946,6.537,False,TexNet HighRes
texnet2021ldeo,-104.5465,31.65954,6.484,False,TexNet HighRes
texnet2021lcxg,-104.38085,31.67611,6.178,False,TexNet HighRes
texnet2021lbrs,-104.40886,31.67829,6.249,False,TexNet HighRes
texnet2021lblq,-104.33843,31.61974,7.081,False,TexNet HighRes
texnet2021lbji,-104.37212,31.66855,6.866,False,TexNet HighRes
texnet2021lbir,-104.33938,31.62103,7.606,False,TexNet HighRes
texnet2021lbfh,-104.33599,31.66568,5.27,False,TexNet HighRes
texnet2021lauv,-104.41378,31.67916,6.362,False,TexNet HighRes
texnet2021lata,-103.95877,31.48566,5.165,False,TexNet HighRes
texnet2021lasv,-104.29253,31.68624,7.455,False,TexNet HighRes
texnet2021kzsf,-104.40658,31.67777,6.367,False,TexNet HighRes
texnet2021kzez,-104.09623,31.61667,6.074,False,TexNet HighRes
texnet2021kzdu,-104.40767,31.67848,6.281,False,TexNet HighRes
texnet2021kzbb,-104.50828,31.71237,5.464,False,TexNet HighRes
texnet2021kyqh,-104.13187,31.62571,7.003,False,TexNet HighRes
texnet2021kynj,-104.29256,31.68704,7.124,False,TexNet HighRes
texnet2021kumz,-104.37467,31.67458,5.786,False,TexNet HighRes
texnet2021kuhj,-104.37476,31.67424,5.733,False,TexNet HighRes
texnet2021kmqb,-104.09882,31.61047,7.127,False,TexNet HighRes
texnet2021kqif,-104.56204,31.7277,6.564,False,TexNet HighRes
texnet2021kqey,-104.24812,31.60339,6.929,False,TexNet HighRes
texnet2021kqct,-104.56237,31.72805,6.134,False,TexNet HighRes
texnet2021kpuu,-104.38077,31.67569,6.137,False,TexNet HighRes
texnet2021kprk,-104.50159,31.61975,7.755,False,TexNet HighRes
texnet2021kppw,-104.40453,31.67715,6.538,False,TexNet HighRes
texnet2021kpkj,-104.5618,31.72765,6.286,False,TexNet HighRes
texnet2021kphn,-104.4107,31.67819,6.39,False,TexNet HighRes
texnet2021kpej,-104.56039,31.72695,6.351,False,TexNet HighRes
texnet2021kpak,-104.10216,31.61711,6.785,False,TexNet HighRes
texnet2021kopt,-104.14619,31.56129,6.861,False,TexNet HighRes
texnet2021koef,-104.36173,31.66412,7.063,False,TexNet HighRes
texnet2021kodd,-104.09911,31.61555,6.616,False,TexNet HighRes
texnet2021koci,-104.37207,31.66852,6.889,False,TexNet HighRes
