n_event,n_origin,event_id,event_time,latitude,latitude_uncertainty,longitude,longitude_uncertainty,depth,depth_uncertainty,rms,region,method,earth_model,event_type,magnitude,magnitude_type,n_P_phases,n_S_phases,preferred_origin
57,1,ESG2024waeg,2024-11-09 03:55:46.869999,4.846833333333334,0.4949747468305832,-75.33283333333333,0.4949747468305832,920.0,600.0,0.06,Colombia,Hypo71,RSNC,earthquake,0.68,ML,9,5,False
52,0,ESG2024wcid,2024-11-10 08:09:59.218030,4.894352252623348,1.4115662427431634,-75.33516292660781,1.1351727469569584,1832.5892857142853,2274.431859750752,0.08890314619792102,Colombia,NonLinLoc,Nereidas,earthquake,0.96,ML,5,5,True
52,1,ESG2024wcid,2024-11-10 08:09:59.130000,4.909166666666667,0.9899494936611664,-75.338,0.9899494936611664,4140.0,2000.0,0.09,Colombia,Hypo71,RSNC,earthquake,0.96,ML,5,5,False
51,0,ESG2024wcjs,2024-11-10 08:58:36.279210,4.894231115720363,1.1785038794281517,-75.33879168080713,1.009197960899829,3776.785714285714,1799.2076674614264,0.07507589404472961,Colombia,NonLinLoc,Nereidas,earthquake,0.75,ML,7,7,True
51,1,ESG2024wcjs,2024-11-10 08:58:36.170000,4.900833333333333,0.4949747468305832,-75.32433333333333,0.4949747468305832,3500.0,200.0,0.08,Colombia,Hypo71,RSNC,earthquake,0.75,ML,7,7,False
48,0,ESG2024wdmi,2024-11-10 23:25:34.556247,4.832935842809883,0.6626585496726959,-75.41606144236742,1.059897752433801,486.6071428571427,1397.224745680091,0.07971160946700463,Colombia,NonLinLoc,Nereidas,earthquake,0.83,ML,7,7,False
48,1,ESG2024wdmi,2024-11-10 23:25:34.589339,4.835721991578541,0.5834941103223006,-75.40987182322462,0.656812112796378,935.267857142857,762.973930077266,0.08996396041576213,Colombia,NonLinLoc,Nereidas,earthquake,0.83,ML,8,8,True
48,2,ESG2024wdmi,2024-11-10 23:25:34.530000,4.8235,0.35355339059327373,-75.41516666666666,0.35355339059327373,790.0,400.0,0.06,Colombia,Hypo71,RSNC,earthquake,0.83,ML,7,7,False
48,3,ESG2024wdmi,2024-11-10 23:25:34.560000,4.827166666666667,0.282842712474619,-75.40916666666666,0.282842712474619,1380.0,300.0,0.07,Colombia,Hypo71,RSNC,earthquake,0.83,ML,8,8,False
45,0,ESG2024wdwi,2024-11-11 04:28:36.903725,4.898713181130813,1.0566253601395916,-75.36675408754984,1.5521037877059014,1832.5892857142853,1320.761413172077,0.06890796593448835,Colombia,NonLinLoc,Nereidas,earthquake,0.11,ML,4,3,True
45,1,ESG2024wdwi,2024-11-11 04:28:36.859999,4.906333333333333,0.7071067811865475,-75.36133333333333,0.7071067811865475,2300.0,500.0,0.06,Colombia,Hypo71,RSNC,earthquake,0.11,ML,4,3,False
43,0,ESG2024wdxc,2024-11-11 04:52:23.125945,4.901378192996486,0.6763880702535893,-75.37443841512746,0.6595248454477657,1832.5892857142853,668.6751909186471,0.08770458138121114,Colombia,NonLinLoc,Nereidas,earthquake,0.9,ML,10,9,True
43,1,ESG2024wdxc,2024-11-11 04:52:23.109999,4.908666666666667,0.282842712474619,-75.36716666666666,0.282842712474619,2030.0,300.0,0.07,Colombia,Hypo71,RSNC,earthquake,0.9,ML,10,9,False
41,0,ESG2024wdzn,2024-11-11 06:05:12.635200,4.901196487642008,0.6194366820110717,-75.37667972818713,0.6180457848865673,1907.366071428571,653.2313679904271,0.08607262200604368,Colombia,NonLinLoc,Nereidas,earthquake,1.12,ML,11,10,False
41,1,ESG2024wdzn,2024-11-11 06:05:12.640714,4.902831835832307,0.6189718910599674,-75.37699984834983,0.6194416835959766,1832.5892857142853,655.0057897337152,0.10633038109580398,Colombia,NonLinLoc,Nereidas,earthquake,1.12,ML,11,10,True
41,2,ESG2024wdzn,2024-11-11 06:05:12.609999,4.908333333333333,0.282842712474619,-75.36983333333333,0.282842712474619,2180.0,300.0,0.07,Colombia,Hypo71,RSNC,earthquake,1.12,ML,11,10,False
41,3,ESG2024wdzn,2024-11-11 06:05:12.619999,4.909166666666667,0.35355339059327373,-75.37133333333334,0.35355339059327373,2190.0,300.0,0.09,Colombia,Hypo71,RSNC,earthquake,1.12,ML,11,10,False
40,0,ESG2024wdzo,2024-11-11 06:05:23.080995,4.905860258406936,0.8064553730402263,-75.38319003976058,0.808114625562923,-1008.9285714285717,1108.7805236275017,0.36300026598853014,Colombia,NonLinLoc,Nereidas,earthquake,0.42,ML,6,5,True
40,1,ESG2024wdzo,2024-11-11 06:05:22.739999,4.915333333333333,1.4849242404917498,-75.3675,1.4849242404917498,0.0,2000.0,0.27,Colombia,Hypo71,RSNC,earthquake,0.42,ML,6,5,False
