ev_id,network_code,station_code,location_code,channel_code,phase_hint,time,time_lower_error,time_upper_error,author,filter_id,method_id,polarity,evaluation_mode,evaluation_status,time_correction,azimuth,distance,takeoff_angle,time_residual,time_weight,used
texnet2024hstr,TX,PB44,00,HHZ,P,2024-04-19 21:08:36.959495,0.1,0.1,Fernando,,,positive,manual,,0.0,35.71367284603534,0.30911923383591516,93.9,-0.1157777619083138,1.2656910307456297,True
texnet2024hstr,TX,PB13,01,HHZ,P,2024-04-19 21:08:37.559829,0.2,0.2,Fernando,,,,manual,,0.0,111.7431360149497,0.3223566466021903,93.7,0.22200998026932872,0.8251876129812592,True
texnet2024hstr,4O,BP01,,HHZ,P,2024-04-19 21:08:38.133197,0.2,0.2,Fernando,,,,manual,,0.0,62.2421560475571,0.35977326471787224,93.2,0.12773351983130432,1.0115016883433914,True
texnet2024hrwo,TX,PB35,00,HH1,P,2024-04-19 09:27:39.098638,0.2,0.2,Victor,,,negative,manual,,0.0,219.35440658222467,0.02045962125226486,160.8,0.16228528997442648,1.0520168345430596,True
texnet2024hrwo,TX,PB35,00,HH2,S,2024-04-19 09:27:40.142262,0.2,0.2,Victor,,,,manual,,0.0,219.35440658222467,0.02045962125226486,160.8,-0.1161081011173506,1.1293475947998555,True
texnet2024hrwo,TX,PB38,00,HH2,P,2024-04-19 09:27:39.558765,0.2,0.2,Victor,,,positive,manual,,0.0,352.3148318619864,0.05824860680095405,135.1,0.2379261249135496,0.9107266380168256,True
texnet2024hrwo,TX,PB38,00,HH2,S,2024-04-19 09:27:40.799016,0.2,0.2,Victor,,,,manual,,0.0,352.3148318619864,0.05824860680095405,135.1,-0.1321400667873065,1.110261115148641,True
texnet2024hrwo,TX,PB28,00,HH1,P,2024-04-19 09:27:39.745685,0.2,0.2,Victor,,,negative,manual,,0.0,267.65699999712035,0.0715030674846557,125.9,0.2440251661826087,0.8979819269531354,True
texnet2024hrwo,TX,PB28,00,HH1,S,2024-04-19 09:27:41.109353,0.2,0.2,Victor,,,,manual,,0.0,267.65699999712035,0.0715030674846557,125.9,-0.1382570237497358,1.1024130670163674,True
texnet2024hrwo,TX,PB37,00,HH2,P,2024-04-19 09:27:40.261840,0.2,0.2,Victor,,,positive,manual,,0.0,296.5443265056453,0.10570190899943266,111.8,0.17956271970099946,1.0229399910212431,True
texnet2024hrwo,TX,PB29,00,HH2,P,2024-04-19 09:27:40.434477,0.2,0.2,Victor,,,positive,manual,,0.0,314.75881830723023,0.11599012448206068,108.6,0.17509728546818026,1.030660819228436,True
texnet2024hrwo,TX,PB29,00,HH2,S,2024-04-19 09:27:42.411058,0.2,0.2,Victor,,,,manual,,0.0,314.75881830723023,0.11599012448206068,108.6,-0.1626375149383943,1.067067071620809,True
texnet2024hrwo,4O,SA02,00,HHE,P,2024-04-19 09:27:40.522794,0.2,0.2,Victor,,,,manual,,0.0,90.63017295012865,0.12955281791041592,104.8,0.04518194463761072,1.181166772965996,True
texnet2024hrwo,TX,PB09,00,BHN,P,2024-04-19 09:27:40.782351,0.2,0.2,Victor,,,positive,manual,,0.0,44.34665311420056,0.14178588660250704,102.3,0.077747837107915,1.158459254752995,True
texnet2024hrwo,4O,SA07,00,HHE,P,2024-04-19 09:27:41.770315,0.2,0.2,Victor,,,,manual,,0.0,13.326012418487293,0.19893305075690587,96.4,0.010850383233124816,1.1930190285296878,True
texnet2024hrwo,4O,SA06,00,HHE,P,2024-04-19 09:27:42.562359,0.2,0.2,Victor,,,,manual,,0.0,69.89966169532353,0.24294668768932065,94.6,-0.008720909418965306,1.1922211191313188,True
texnet2024hrwo,TX,PB26,00,HHN,P,2024-04-19 09:27:43.037580,0.2,0.2,Victor,,,,manual,,0.0,111.11593189267263,0.2654072550168765,94.0,0.04143599887648719,1.179060502303264,True
texnet2024hrwo,TX,PB23,00,HHN,P,2024-04-19 09:27:43.683626,0.2,0.2,Victor,,,,manual,,0.0,91.9416798614154,0.2933841827751422,93.5,0.17645683874398177,1.0241786623066231,True
texnet2024hrwo,4O,CT01,,HHN,P,2024-04-19 09:27:44.108033,0.2,0.2,Victor,,,positive,manual,,0.0,45.47149021621094,0.3273114201167509,93.0,-0.0333879563004853,1.179164418399805,True
texnet2024hrwo,4O,SA09,00,HHE,P,2024-04-19 09:27:44.177608,0.2,0.2,Victor,,,positive,manual,,0.0,14.62641958472157,0.3384175821886761,92.9,-0.18950252798362044,1.0196394391100836,True
texnet2024hrwo,TX,PB44,00,HHN,P,2024-04-19 09:27:46.362261,0.2,0.2,Victor,,,positive,manual,,0.0,55.77950006966271,0.4442505862628654,92.0,0.04785684951735547,1.154137896933807,True
texnet2024hrwo,GM,NMP11,01,HHN,P,2024-04-19 09:27:47.889765,0.2,0.2,Victor,,,,manual,,0.0,51.2650756722058,0.5316426679403062,91.6,-0.06378199876957069,1.137911245265882,True
texnet2024hrwo,SC,GDL2,00,HHE,P,2024-04-19 09:27:47.729743,0.2,0.2,Victor,,,positive,manual,,0.0,5.322135467930258,0.5312335894739181,91.6,-0.2912128117090429,0.830134519862416,True
texnet2024hrwo,TX,VHRN,00,HH1,P,2024-04-19 09:27:56.207114,0.2,0.2,Victor,,,,manual,,0.0,209.3435982120879,1.011199691465374,77.5,-0.7227427976124972,0.2334103623395104,True
texnet2024hrwo,TX,PECS,00,HH1,P,2024-04-19 09:27:48.303402,0.2,0.2,Victor,,,,manual,,0.0,123.05722920666815,0.5580861279621665,91.5,-0.15397675378632414,1.0512056878423763,True
texnet2024hrwo,TX,PB12,00,HHE,P,2024-04-19 09:27:49.173089,0.2,0.2,Victor,,,,manual,,0.0,139.83004772981855,0.6040176158020583,91.4,-0.1698695337924505,1.025088615430223,True
texnet2024hrwo,TX,PB01,00,HH2,P,2024-04-19 09:27:54.111840,0.2,0.2,Victor,,,,manual,,0.0,143.5650859024289,0.9096917138258869,77.5,-0.8787263204426559,0.11778741647763818,True
texnet2024hrwl,TX,PB35,00,HHZ,P,2024-04-19 09:23:14.804978,0.1,0.1,Kate,,,negative,manual,,0.0,222.8629270891713,0.02817429503827274,152.4,0.1231268870283997,1.1055080794449708,True
texnet2024hrwl,TX,PB35,00,HH1,S,2024-04-19 09:23:15.796241,0.1,0.1,Kate,,,,manual,,0.0,222.8629270891713,0.02817429503827274,152.4,-0.09612412902471101,1.287071272460797,True
texnet2024hrwl,TX,PB28,00,HHZ,P,2024-04-19 09:23:15.436161,0.1,0.1,Kate,,,negative,manual,,0.0,264.29614092789,0.07802129479889368,120.3,0.05384313287999509,1.3125002800780703,True
texnet2024hrwl,TX,PB28,00,HH1,S,2024-04-19 09:23:16.806672,0.1,0.1,Kate,,,,manual,,0.0,264.29614092789,0.07802129479889368,120.3,-0.3116244379975539,0.6552056428450477,True
texnet2024hrwl,TX,PB37,00,HHZ,P,2024-04-19 09:23:15.928516,0.1,0.1,Kate,,,positive,manual,,0.0,292.82608966454734,0.10931206473010356,111.8,-0.03662284792415749,1.3756234345861367,True
texnet2024hrwl,TX,PB37,00,HH1,S,2024-04-19 09:23:17.537533,0.1,0.1,Kate,,,,manual,,0.0,292.82608966454734,0.10931206473010356,111.8,-0.6007844326986786,0.0,True
texnet2024hrwl,4O,SA02,00,HHZ,P,2024-04-19 09:23:16.233507,0.1,0.1,Kate,,,negative,manual,,0.0,92.9033276830273,0.12351180840346784,109.1,0.03097145542110269,1.352728300251139,True
texnet2024hrwl,4O,SA02,00,HHN,S,2024-04-19 09:23:18.246433,0.1,0.1,Kate,,,,manual,,0.0,92.9033276830273,0.12351180840346784,109.1,-0.3073670099024506,0.6701343110557516,True
texnet2024hrwl,4O,SA07,00,HHZ,P,2024-04-19 09:23:17.458766,0.1,0.1,Kate,,,positive,manual,,0.0,11.86678966972458,0.1928674215757521,91.9,-0.08514566168998527,1.3097108913143545,True
texnet2024hrwl,4O,SA07,00,HHN,S,2024-04-19 09:23:20.381885,0.1,0.1,Kate,,,,manual,,0.0,11.86678966972458,0.1928674215757521,91.9,-0.5193779721356266,0.0,True
texnet2024hrwl,4O,SA06,00,HHZ,P,2024-04-19 09:23:18.342703,0.1,0.1,Kate,,,,manual,,0.0,70.48580492108476,0.2354841340793022,72.4,-0.004306261394830813,1.379009344861273,True
texnet2024hrwl,4O,SA06,00,HHN,S,2024-04-19 09:23:21.171701,0.1,0.1,Kate,,,,manual,,0.0,70.48580492108476,0.2354841340793022,72.4,-1.1350733035325415,0.0,True
texnet2024hrwl,TX,PB34,00,HHZ,P,2024-04-19 09:23:19.907177,0.1,0.1,Kate,,,,manual,,0.0,90.3962858891356,0.3168931816877508,69.0,0.04824269850963425,1.2996296076299767,True
texnet2024hrwl,TX,PB34,00,HH1,S,2024-04-19 09:23:24.394995,0.1,0.1,Kate,,,,manual,,0.0,90.3962858891356,0.3168931816877508,69.0,-0.5577289595275694,0.0,True
texnet2024hrwl,TX,PECS,00,HHZ,P,2024-04-19 09:23:23.923897,0.1,0.1,Kate,,,positive,manual,,0.0,123.82313103408737,0.5555815927599479,69.0,-0.40789187574390695,0.0,True
texnet2024hrwl,TX,PECS,00,HH1,S,2024-04-19 09:23:31.436654,0.1,0.1,Kate,,,,manual,,0.0,123.82313103408737,0.5555815927599479,69.0,-1.34386788831182,0.0,True
texnet2024hrwl,TX,PB12,00,HHZ,P,2024-04-19 09:23:24.593351,0.1,0.1,Kate,,,,manual,,0.0,140.57478918540636,0.603766237110434,69.0,-0.6664442994729747,0.15616776049382755,True
texnet2024hrwl,TX,PB10,00,HHZ,P,2024-04-19 09:23:26.378561,0.2,0.2,Kate,,,,manual,,0.0,125.42069978669733,0.6840691314336151,69.0,-0.3549397368911311,0.0,True
texnet2024hrwl,4O,LWM1,0K,HHZ,P,2024-04-19 09:23:28.709251,0.2,0.2,Kate,,,,manual,,0.0,124.06920388470859,0.8016087710235505,66.1,-0.21463845758716005,0.0,True
texnet2024hrwl,4O,LWM2,0K,HHZ,P,2024-04-19 09:23:28.808429,0.2,0.2,Kate,,,,manual,,0.0,120.2781864074015,0.8138249659116045,65.9,-0.3361845050414054,0.0,True
texnet2024hrwl,TX,PCOS,00,HHZ,P,2024-04-19 09:23:29.304321,0.2,0.2,Kate,,,,manual,,0.0,109.48150761061952,0.813087654562491,65.9,0.1785825310436593,0.0,True
texnet2024hrwl,TX,PB03,00,HHZ,P,2024-04-19 09:23:31.411860,0.2,0.2,Kate,,,,manual,,0.0,128.0082809325505,0.9689117724536791,65.7,-0.5921801056591676,0.0,True
texnet2024hrwl,TX,VHRN,00,HHZ,P,2024-04-19 09:23:31.858162,0.2,0.2,Kate,,,,manual,,0.0,209.51404978567288,1.0184496918126154,65.7,-1.1640888315653086,0.043362623468591016,True
texnet2024hrwl,TX,PB38,00,HHZ,P,2024-04-19 09:23:15.263544,0.1,0.1,Kate,,,positive,manual,,0.0,345.19392190830496,0.05471089427539872,132.3,0.2534036570734044,0.5690417624940394,True
texnet2024hrwl,TX,PB38,00,HH1,S,2024-04-19 09:23:16.511308,0.1,0.1,Kate,,,,manual,,0.0,345.19392190830496,0.05471089427539872,132.3,0.044385213351900266,1.331060507397003,True
texnet2024hrwl,TX,PB29,00,HHZ,P,2024-04-19 09:23:16.118725,0.1,0.1,Kate,,,positive,manual,,0.0,310.94903480549,0.11724410222833198,110.2,0.009085128081376848,1.375953489901441,True
texnet2024hrwl,TX,PB29,00,HH1,S,2024-04-19 09:23:18.086642,0.1,0.1,Kate,,,,manual,,0.0,310.94903480549,0.11724410222833198,110.2,-0.3045569817904141,0.6770050109824615,True
texnet2024hrwl,TX,PB09,00,BHZ,P,2024-04-19 09:23:16.503807,0.1,0.1,Kate,,,positive,manual,,0.0,43.897329090254345,0.1340071658713167,107.2,0.09763534722113665,1.1944610105449622,True
texnet2024hrwl,TX,PB09,00,BHN,S,2024-04-19 09:23:18.744282,0.1,0.1,Kate,,,,manual,,0.0,43.897329090254345,0.1340071658713167,107.2,-0.165945591974082,1.0995116663354503,True
texnet2024hrwl,TX,PB26,00,HHZ,P,2024-04-19 09:23:18.779046,0.1,0.1,Kate,,,,manual,,0.0,112.5925072044076,0.26145855604130097,69.1,-0.0601276357410292,1.343166914155015,True
texnet2024hrwl,TX,PB26,00,HHN,S,2024-04-19 09:23:22.399455,0.1,0.1,Kate,,,,manual,,0.0,112.5925072044076,0.26145855604130097,69.1,-0.7686229833768898,0.0,True
texnet2024hrwl,TX,PB23,00,HHZ,P,2024-04-19 09:23:19.258466,0.2,0.2,Kate,,,,manual,,0.0,92.94611533523494,0.28740387779150084,69.0,-0.05453347038041123,1.1080249397255204,True
texnet2024hrwl,TX,PB23,00,HHN,S,2024-04-19 09:23:23.501985,0.2,0.2,Kate,,,,manual,,0.0,92.94611533523494,0.28740387779150084,69.0,-0.4953213940762176,0.41505626365362347,True
texnet2024hrwl,TX,PB20,00,HHZ,P,2024-04-19 09:23:19.548818,0.2,0.2,Kate,"smi:org.gfz-potsdam.de/geofon/RMHP(10)_>>_BW(2,3,12)",,,manual,,0.0,99.72317943065636,0.30052377475469944,69.0,-0.014588238763552752,1.1065487522844792,True
texnet2024hrwl,TX,PB20,00,HHN,S,2024-04-19 09:23:23.753549,0.2,0.2,Kate,"smi:org.gfz-potsdam.de/geofon/RMHP(10)_>>_BW(2,3,12)",,,manual,,0.0,99.72317943065636,0.30052377475469944,69.0,-0.6820343587009976,0.0,True
texnet2024hrwl,TX,PB25,00,HHZ,P,2024-04-19 09:23:19.716453,0.2,0.2,Kate,"smi:org.gfz-potsdam.de/geofon/RMHP(10)_>>_BW(2,3,12)",,,manual,,0.0,108.34443646718562,0.30430092534288194,69.0,0.07858778110982456,1.026534012682104,True
texnet2024hrwl,TX,PB25,00,HHN,S,2024-04-19 09:23:23.595736,0.2,0.2,Kate,"smi:org.gfz-potsdam.de/geofon/RMHP(10)_>>_BW(2,3,12)",,,manual,,0.0,108.34443646718562,0.30430092534288194,69.0,-0.9700810684594394,0.0,True
